"","Flower","Bee.ID","n.x","n.y"
"507","Pastinaca sativa","Melissodes bimaculata",NA,1
"508","Ratibida pinnata","Melissodes bimaculata",NA,1
"509","Trifolium repens","Melissodes bimaculata",NA,1
"510","Abutilon theophrasti","Melissodes boltoniae",NA,1
"511","Asclepias syriaca","Melissodes boltoniae",NA,3
"512","Carduus nutans","Melissodes boltoniae",NA,1
"513","Cirsium arvense","Melissodes boltoniae",NA,1
"514","Dalea purpurea","Melissodes boltoniae",NA,1
"515","Daucus carota","Melissodes boltoniae",NA,2
"516","Heliopsis helianthoides","Melissodes boltoniae",NA,1
"517","Physalis virginiana","Melissodes boltoniae",NA,1
"518","Silene latifolia","Melissodes boltoniae",NA,1
"519","Solidago canadensis","Melissodes boltoniae",NA,1
"520","Solidago rigida","Melissodes boltoniae",NA,1
"521","Taraxacum officinale","Melissodes boltoniae",NA,1
"522","Asclepias syriaca","Melissodes communis",NA,1
"523","Cirsium vulgare","Melissodes communis",NA,1
"524","Asclepias syriaca","Melissodes druriellus",NA,3
"525","Daucus carota","Melissodes druriellus",NA,2
"526","Taraxacum officinale","Melissodes druriellus",NA,1
"527","Asclepias syriaca","Melissodes trinodis",NA,1
"528","Daucus carota","Melissodes trinodis",NA,1
"529","Asclepias syriaca","Nomada erigeronis",NA,1
"530","Pastinaca sativa","Nomada erigeronis",NA,1
"531","Taraxacum officinale","Nomada erigeronis",NA,1
"532","Trifolium pratense","Nomada erigeronis",NA,1
"533","Anemone canadensis","Nomada parva",NA,1
"534","Asclepias syriaca","Nomada parva",NA,2
"535","Galium aparine","Nomada parva",NA,1
"536","Oxalis stricta","Nomada parva",NA,2
"537","Ratibida pinnata","Nomada parva",NA,1
"538","Rubus idaeus","Nomada parva",NA,1
"539","Taraxacum officinale","Nomada parva",NA,1
"540","Thlaspi arvense","Nomada parva",NA,1
"541","Trifolium pratense","Nomada parva",NA,1
"542","Trifolium repens","Nomada parva",NA,1
"543","Asclepias syriaca","Pseudopanurgus albitarsis",NA,1
"544","Cirsium arvense","Pseudopanurgus albitarsis",NA,1
"545","Asclepias syriaca","Sphecodes clematidis",NA,1
"546","Rudbeckia hirta","Sphecodes clematidis",NA,1
"547","Taraxacum officinale","Sphecodes clematidis",NA,1
"548","Asclepias syriaca","Sphecodes sp.",NA,1
"549","Daucus carota","Sphecodes sp.",NA,1
"550","Thlaspi arvense","Stelis lateralis",NA,1
"551","Trifolium pratense","Stelis lateralis",NA,1
"552","Zizia aurea","Stelis lateralis",NA,1
"553","Asclepias syriaca","Svastra obliqua",NA,2
"554","Cirsium arvense","Svastra obliqua",NA,1
"555","Trifolium pratense","Svastra obliqua",NA,1
"556","Asclepias syriaca","Triepeolus donatus",NA,1
"557","Solidago canadensis","Triepeolus donatus",NA,1
"558","Verbascum thapsus","Triepeolus donatus",NA,1
"559","Asclepias syriaca","Triepeolus lunatus",NA,1
"560","Convolvulus arvensis","Triepeolus lunatus",NA,1
"561","Hemerocallis fulva","Triepeolus lunatus",NA,1
"562","Taraxacum officinale","Triepeolus lunatus",NA,1
"563","Trifolium pratense","Triepeolus lunatus",NA,1
