Number,Date,Site,Trap,Sex,Family,Genus,Species,Binomial,Notes
8671,5/29/2016,Cretsinger,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8672,5/29/2016,Cretsinger,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8673,5/29/2016,Cretsinger,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8674,5/29/2016,Cretsinger,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8675,5/29/2016,Cretsinger,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8676,5/29/2016,Cretsinger,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8677,5/29/2016,Cretsinger,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8678,5/29/2016,Cretsinger,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8679,5/29/2016,Cretsinger,Bowls,M,Apidae,Eucera,hamata,Eucera hamata,
8680,5/29/2016,Cretsinger,Bowls,M,Apidae,Eucera,hamata,Eucera hamata,
8681,5/29/2016,Cretsinger,Bowls,M,Apidae,Eucera,hamata,Eucera hamata,
8682,5/29/2016,Cretsinger,Bowls,F,Halictidae,Halictus,parallelus,Halictus parallelus,
8683,5/29/2016,Cretsinger,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8684,5/29/2016,Cretsinger,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8685,5/29/2016,Cretsinger,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8686,5/29/2016,Cretsinger,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8687,5/29/2016,Cretsinger,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8688,5/29/2016,Cretsinger,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8689,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum s.s.,paraforbesii,Lasioglossum s.s. paraforbesii,
8690,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum s.s.,paraforbesii,Lasioglossum s.s. paraforbesii,
8691,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum s.s.,forbesii,Lasioglossum s.s. forbesii,
8692,5/29/2016,Cretsinger,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8693,5/29/2016,Cretsinger,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8694,5/29/2016,Cretsinger,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8695,5/29/2016,Cretsinger,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8696,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum s.s.,forbesii,Lasioglossum s.s. forbesii,
8697,5/29/2016,Cretsinger,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8698,5/29/2016,Cretsinger,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8699,5/29/2016,Cretsinger,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8700,5/29/2016,Cretsinger,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8701,5/29/2016,Cretsinger,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8702,5/29/2016,Cretsinger,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8703,5/29/2016,Cretsinger,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8704,5/29/2016,Cretsinger,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8705,5/29/2016,Cretsinger,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8706,5/29/2016,Cretsinger,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8707,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Evylaeus),pectorale,Lasioglossum (Evylaeus) pectorale,
8708,5/29/2016,Cretsinger,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8709,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8710,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8711,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8712,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8713,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8714,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8715,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8716,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8717,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8718,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8719,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8720,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8721,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8722,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8723,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8724,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8725,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8726,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8727,5/29/2016,Cretsinger,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8728,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8729,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8730,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8731,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8732,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8733,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8734,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8735,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8736,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8737,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8738,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8739,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8740,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8741,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8742,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8743,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8744,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8745,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8746,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8747,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8748,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8749,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8750,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8751,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8752,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8753,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8754,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8755,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8756,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8757,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8758,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8759,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8760,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8761,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8762,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8763,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8764,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8765,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8766,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8767,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8768,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8769,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8770,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8771,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8772,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8773,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8774,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8775,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8776,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8777,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8778,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8779,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8780,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8781,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8782,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8783,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8784,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8785,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8786,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8787,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8788,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8789,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8790,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8791,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8792,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8793,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8794,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8795,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8796,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8797,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8798,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8799,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8800,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8801,5/29/2016,Cretsinger,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8802,5/29/2016,Cretsinger,NT,M,Andrenidae,Andrena,,Andrena spp.,
8803,5/29/2016,Cretsinger,NT,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8804,5/29/2016,Cretsinger,NT,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8805,5/29/2016,Cretsinger,NT,F,Andrenidae,Andrena,ziziae,Andrena ziziae,
8806,5/29/2016,Cretsinger,NT,F,Andrenidae,Andrena,ziziae,Andrena ziziae,
8807,5/29/2016,Cretsinger,NT,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8808,5/29/2016,Cretsinger,NT,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8809,5/29/2016,Cretsinger,NT,F,Colletidae,Hylaeus,,Hylaeus spp.,
8810,5/29/2016,Cretsinger,NT,F,Colletidae,Hylaeus,,Hylaeus spp.,
8811,5/29/2016,Cretsinger,NT,F,Colletidae,Hylaeus,,Hylaeus spp.,
8812,5/29/2016,Cretsinger,NT,F,Colletidae,Hylaeus,,Hylaeus spp.,
8813,5/29/2016,Cretsinger,NT,F,Halictidae,Lasioglossum (Dialictus),,,
8814,5/29/2016,Cretsinger,NT,M,Apidae,Ceratina,dupla,Ceratina dupla,
8815,5/29/2016,Cretsinger,NT,M,Colletidae,Hylaeus,mesillae,Hylaeus mesillae,
8816,5/29/2016,Cretsinger,NT,M,Colletidae,Hylaeus,affinis,Hylaeus affinis,
8817,5/29/2016,Cretsinger,NT,M,Colletidae,Hylaeus,affinis,Hylaeus affinis,
8818,5/29/2016,Cretsinger,NT,M,Colletidae,Hylaeus,mesillae,Hylaeus mesillae,
8819,5/29/2016,Cretsinger,Blue vane,F,Apidae,Bombus,pensylvanicus,Bombus pensylvanicus,
8820,5/29/2016,Peckumn,Blue vane,F,Apidae,Bombus,pensylvanicus,Bombus pensylvanicus,
8821,5/29/2016,Peckumn,Blue vane,M,Apidae,Eucera,hamata,Eucera hamata,
8822,5/29/2016,Peckumn,Blue vane,M,Apidae,Eucera,hamata,Eucera hamata,
8823,5/29/2016,Peckumn,Blue vane,M,Apidae,Eucera,hamata,Eucera hamata,
8824,5/29/2016,Peckumn,Blue vane,M,Apidae,Eucera,hamata,Eucera hamata,
8825,5/29/2016,Peckumn,Blue vane,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8826,5/29/2016,Peckumn,Blue vane,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8827,5/29/2016,Peckumn,Blue vane,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8828,5/29/2016,Peckumn,Blue vane,F,Apidae,Ceratina,,Ceratina spp.,
8829,5/29/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8830,5/29/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8831,5/29/2016,Peckumn,Blue vane,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8832,5/29/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Evylaeus),pectorale,Lasioglossum (Evylaeus) pectorale,
8833,5/29/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8834,5/29/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8835,5/29/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8836,5/29/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8837,5/29/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8838,5/29/2016,Peckumn,Blue vane,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8839,5/29/2016,Peckumn,Bowls,M,Apidae,Eucera,hamata,Eucera hamata,
8840,5/29/2016,Peckumn,Bowls,F,Apidae,Eucera,hamata,Eucera hamata,
8841,5/29/2016,Peckumn,Bowls,M,Apidae,Eucera,hamata,Eucera hamata,
8842,5/29/2016,Peckumn,Bowls,F,Apidae,Eucera,hamata,Eucera hamata,
8843,5/29/2016,Peckumn,Bowls,F,Apidae,Eucera,hamata,Eucera hamata,
8844,5/29/2016,Peckumn,Bowls,M,Apidae,Eucera,hamata,Eucera hamata,
8845,5/29/2016,Peckumn,Bowls,M,Apidae,Eucera,hamata,Eucera hamata,
8846,5/29/2016,Peckumn,Bowls,M,Apidae,Eucera,hamata,Eucera hamata,
8847,5/29/2016,Peckumn,Bowls,M,Apidae,Eucera,hamata,Eucera hamata,
8848,5/29/2016,Peckumn,Bowls,M,Apidae,Eucera,hamata,Eucera hamata,
8849,5/29/2016,Peckumn,Bowls,F,Apidae,Apis,mellifera,Apis mellifera,
8850,5/29/2016,Peckumn,Bowls,F,Halictidae,Halictus,parallelus,Halictus parallelus,
8851,5/29/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8852,5/29/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8853,5/29/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8854,5/29/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8855,5/29/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8856,5/29/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8857,5/29/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8858,5/29/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8859,5/29/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8860,5/29/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8861,5/29/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8862,5/29/2016,Peckumn,Bowls,F,Halictidae,Agapostemon,virescens,Agapostemon virescens,
8863,5/29/2016,Peckumn,Bowls,F,Halictidae,Halictus,parallelus,Halictus parallelus,
8864,5/29/2016,Peckumn,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8865,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum s.s.,paraforbesii,Lasioglossum s.s. paraforbesii,
8866,5/29/2016,Peckumn,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8867,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum s.s.,coriaceum,Lasioglossum s.s. coriaceum,
8868,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum s.s.,coriaceum,Lasioglossum s.s. coriaceum,
8869,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum s.s.,coriaceum,Lasioglossum s.s. coriaceum,
8870,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum s.s.,coriaceum,Lasioglossum s.s. coriaceum,
8871,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum s.s.,coriaceum,Lasioglossum s.s. coriaceum,
8872,5/29/2016,Peckumn,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8873,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum s.s.,athabascense,Lasioglossum s.s. athabascense,
8874,5/29/2016,Peckumn,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8875,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum s.s.,coriaceum,Lasioglossum s.s. coriaceum,
8876,5/29/2016,Peckumn,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8877,5/29/2016,Peckumn,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8878,5/29/2016,Peckumn,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8879,5/29/2016,Peckumn,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8880,5/29/2016,Peckumn,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8881,5/29/2016,Peckumn,Bowls,F,Halictidae,Halictus,ligatus,Halictus ligatus,
8882,5/29/2016,Peckumn,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8883,5/29/2016,Peckumn,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8884,5/29/2016,Peckumn,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8885,5/29/2016,Peckumn,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8886,5/29/2016,Peckumn,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8887,5/29/2016,Peckumn,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8888,5/29/2016,Peckumn,Bowls,F,Halictidae,Augochlorella,aurata,Augochlorella aurata,
8889,5/29/2016,Peckumn,Bowls,F,Apidae,Ceratina,,Ceratina spp.,
8890,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8891,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8892,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Evylaeus),pectorale,Lasioglossum (Evylaeus) pectorale,
8893,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8894,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8895,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8896,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8897,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8898,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8899,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8900,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8901,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8902,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8903,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8904,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8905,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8906,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8907,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8908,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8909,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8910,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8911,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
8912,5/29/2016,Peckumn,Bowls,F,Halictidae,Lasioglossum (Dialictus),,Lasioglossum (Dialictus) spp.,
